Nom de l'association;Secteur d'activité;Ville;Adresse postale;Code postal;Adresse email;Téléphone;Statut de publication;Statut légal;Date de déclaration;Date de modification;Administrateur;N°RNA;N°SIRET;IdAssociation
As Mallemoisson;Football (généraliste ou multi-activité);Digne-les-Bains;33 AVENUE GASTON BOYER;04000;d.philip@hotmail.fr;0662687431;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;2d5c8b1d-a80d-4eaa-a1cf-061aa00bffe4
Asdcorr;"Recherche; Loisirs scientifiques et techniques; Loisirs";Mézel;Le village du poil;04270;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;4e7bcc6e-4bfe-4b6d-b3a7-f291f70731f5
ASERDI (Association sportive et récréative Dignoise);Twirling bâton;Digne-les-Bains;Rue François Sièyes;04000;abapi@live.fr;;Publiée;Déclarée;;25/03/2015 (Elias Administrateur Galoo);Non;;;009d762c-b38f-4f7d-9dc3-0b7a4226e23e
Aspadd (ASSOCIATION POUR LA SAUVEGARDE DU PATRIMOINE ET DE L'ARCHITECTURE DE DIGNE);Architecture;Digne-les-Bains;13, avenue maréchal leclerc;04000;;0492360653;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;171d20ba-af51-4ac6-ba7d-1807559330c4
A.S.P.T.T.;Danse;Digne-les-Bains;26, avenue des Charrois;04000;asptt.digne@wanadoo.fr;;Publiée;Déclarée;01/01/1900;25/03/2015 (Elias Administrateur Galoo);Non;;;4fe45ecb-68c5-441a-affd-2423e95c303b
A.s.p.t.t. boules lyonnaises;Boules lyonnaises;Digne-les-Bains;Boulodrome de la gare;04000;;0492321176;Publiée;Déclarée;01/01/1900;24/04/2014 (System);Non;;;d6c54a39-44b3-4871-b86a-aee34ebf85c5
Asptt section course à pied (HORS STADE);Athlétisme;Digne-les-Bains;26, avenue des charrois;04008;;0492312613;Publiée;Déclarée;01/01/1900;02/06/2016 (LOU  VANIE);Non;;;4d172b87-a5fe-4467-a4ab-f970d9c3bac4
ASPTT section Montagne;Randonnée montagne;Digne-les-Bains;8 Boulevard du 8 Mai 1945;04000;;;Publiée;Déclarée;;12/02/2016 (Bernard JOCTEUR);Oui;;;b8632e9c-3d92-4d4a-941e-2ede6858c813
Asptt tennis;Sports collectifs;Digne-les-Bains;26 avenue charrois;04000;asptt.digne@wanadoo.fr;0492312613;Publiée;Déclarée;;23/04/2014 (System);Non;;;e930f024-cd8e-4ad5-8f73-6318d96b1cdf
Asse reflexologie;"Santé et Protection civile; Homéopathie, médecines douces";Bras-d'Asse;Chemin du brusquet;04270;;;Publiée;Déclarée;20/02/2011;16/06/2015 (System);Non;W043001815;;3ffb3d8d-5dbf-4a92-a667-76a9ca46430f
Assemblee de dieu dite centre evangelique;Religion, Culte, Philosophie;Digne-les-Bains;16, rue de la grande-fontaine;04000;;;Publiée;Déclarée;;04/06/2015 (System);Non;;;ffed5057-096b-4d11-a28e-304dd0772d11
Assemblee fraternelle des chretiens unitariens;"Religion, Culte, Philosophie; Social Entraide; Christianisme";Digne-les-Bains;Les hautes-sièyes, route de courbons;04000;;;Publiée;Déclarée;19/01/1997;16/06/2015 (System);Non;;;55a3c994-0cbc-470d-a8e7-662b3ce9e923
Assoc club hippique de bauduen;Sports équestres;Sainte-Croix-du-Verdon;Route de Riez;04500;;0494700889;Publiée;Déclarée;;24/04/2014 (System);Non;;;d3ebb5cc-2d01-40a1-b474-9b22c3c5eca7
Association 04 des amis des antilles;"Social Entraide; Interventions sociales";Aiglun;Les grées;04510;;;Publiée;Déclarée;;04/06/2015 (System);Non;;;ca2eacca-c8ef-4ef3-a1e4-3e2efaebba32
Association admr du canton de moustiers;"Aide à domicile; Aide et conseils aux familles; Services familiaux, service aux personnes âgées, sénior; Social Entraide; Interventions sociales";Moustiers-Sainte-Marie;Mairie;04360;;;Publiée;Déclarée;;15/06/2015 (System);Non;W043000455;;95987a5e-8723-4109-9f68-43628cc22a43
Association aiglun citoyennete et democratie (AACED);Défense et amélioration du cadre de vie;Aiglun;1212, la roche frison;04510;;;Publiée;Déclarée;14/09/2007;24/12/2014 (System);Non;;;5f672d14-2049-4144-8646-9ea1fe06b83c
Association Alexandra David-Néel;Musées, collections historiques;Digne-les-Bains;27, avenue du maréchal juin;04000;neel@alexandra-david-neel.org;0492313238;Publiée;Déclarée;01/01/1900;04/06/2015 (Muriel Yvan );Oui;;;b66d6882-50a2-45e0-bcad-d8f581687158
Association alphonse beau de rochas;Autres catégories;Digne-les-Bains;Hôtel de ville;04000;;;Publiée;Dissoute;;14/04/2016 (System);Non;;;8b3e7ddb-f26b-4760-8004-2631f6f10e47
Association amicale des turcs a digne-les-bains;Religion, Culte, Philosophie;Digne-les-Bains;5, rue pied-de-ville;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;449bfb2c-2eca-4046-b7c1-fa1b0191c7cd
Association amitie et joie;Social Entraide;Digne-les-Bains;13, avenue paul martin;04000;;;Publiée;Déclarée;01/01/1900;27/03/2015 (sandrine Fabry);Non;;;072544c5-34c1-4408-8968-03ab950eb130
Association animation entrageoise;"Loisirs; Actions socio-culturelles, centres de loisirs ";Entrages;Mairie;04000;;;Publiée;Déclarée;;05/06/2015 (System);Non;;;f96e3b4a-04fe-4827-aaa4-3e65d0814452
Association aquariophile du pays dignois;"Animaux ; Aquariophilie; Loisirs; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;17 Rue du Mazet;04000;;;Publiée;Déclarée;;03/06/2015 (System);Non;;;d040f100-d02c-451d-af6a-ea7d21127a16
Association asse energie nouvelles;"Economie; Représentation, promotion et défense d'intérêts économiques; Mouvements de consommateurs";Bras-d'Asse;Chemin du brusquet;04270;;;Publiée;Déclarée;20/10/2013;12/12/2015 (Jean-Christophe LEONARD);Non;W043002070;;ff828b2f-8b86-4d65-903b-f666582d6aac
Association assurances eleves des etablissements enseignement public a.a.e.e.p;"Interventions sociales; Education, Formation, Recherche";Digne-les-Bains;13, boulevard victor-hugo;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;b5254f64-191d-4883-b29f-1a4023661995
Association athena;Art et Culture;Digne-les-Bains;école des Beaux-Arts, square Frédéric-Mistral;04000;;;Publiée;Déclarée;19/06/1997;16/06/2015 (System);Non;;;91769cb4-5df2-4dc9-95f0-722bffc29720
Association bonsai yamadori de digne-les-bains;"Actions socio-culturelles, centres de loisirs ; Art et Culture";Digne-les-Bains;6 Chemin des Ajoncs;04000;;;Publiée;Déclarée;;07/06/2015 (System);Non;;;43b938fb-c439-4517-9ab8-f92b077626da
Association botanique et mycologique bas-alpine;Mycologie;Digne-les-Bains;Centre desmichels, rue martin bret;04000;;;Publiée;Déclarée;01/01/1900;17/09/2015 (bernard overal);Oui;;;38e6ba75-f112-49b8-b4af-d71cc856b739
Association budo 04;Autres arts martiaux;Moustiers-Sainte-Marie;Route du Nord;04360;;;Publiée;Déclarée;20/06/2016;13/07/2016 (System);Non;W043002357;;538973eb-0f94-421e-b9e6-af03991133bb
Association carte de fidelite des commerçants du 04 (CARFICOM 04);Economie;Digne-les-Bains;Chambre de commerce et d'industrie des alpes-de-haute-provence, 60, boulevard gassendi;04000;;;Publiée;Déclarée;20/08/2002;14/04/2016 (System);Non;;;6a94cc29-c890-4d03-933f-ce70af444507
Association cinema etc;"Photographie, cinéma; Activités artistiques; Art et Culture";Aiglun;58, avenue des grées;04510;;;Publiée;Déclarée;31/03/2011;16/06/2015 (System);Non;W043001828;;5d9660a8-ca9d-4119-afcc-5121a7076a2e
ASSOCIATION COEUR LAVANDE;"Musique; Spectacles de variétés; Défense des droits fondamentaux, activités civiques; Social Entraide; Justice; Actions socio-culturelles, centres de loisirs ; Activités artistiques; Art et Culture";Barrême;Quartier saint-antoine;04330;;0492361511;Publiée;Déclarée;17/11/2006;11/06/2016 (System);Oui;;;92d5d757-28fd-45d0-9b85-32117919a718
Association cultuelle bouddhiste tibetaine tashi detchen;"Religion, Culte, Philosophie; Social Entraide";Saint-Julien-d'Asse;Le village;04270;;;Publiée;Déclarée;20/02/2013;09/06/2015 (System);Non;W043002005;;3a1c1b3c-27a6-4bfe-a64c-2905418885ca
Association « culture et formation »;"Recherche; Centre d'enseignement et de formation; Art et Culture; Education, Formation, Recherche";Digne-les-Bains;I.f.s.i., centre hospitalier, quartier saint-christophe;04000;;;Publiée;Déclarée;19/11/1997;16/06/2015 (System);Non;;;360df337-1ca3-40e3-8c06-11db54842b36
Association culturelle dinia production;Jumelages, échanges culturels et linguistiques;Digne-les-Bains;9, chemin des baumelles, résidence le colombier;04000;;;Publiée;Déclarée;20/10/2015;18/04/2016 (System);Non;W043002272;;47c6c0d7-cfcf-4f33-bfa6-16a05e5032b4
Association culturelle evangelique de digne-les-bains;Religion, Culte, Philosophie;Digne-les-Bains;41, boulevard victor-hugo;04000;;;Publiée;Déclarée;;05/06/2015 (System);Non;;;d9227593-00d5-488a-9ac8-e78df2c329d3
Association culturelle maghrebine dignoise.;"Social Entraide; Interventions sociales; Art et Culture; Education, Formation, Recherche";Digne-les-Bains;16, rue de la grande-fontaine;04000;;;Publiée;Déclarée;;20/12/2014 (System);Non;;;001597ac-d186-4117-b265-5cdbbadffbff
Association Culturelle Turque;Actions socio-culturelles, centres de loisirs ;Digne-les-Bains;5 rue pied de ville;04000;;0689921083;Publiée;Déclarée;;21/05/2015 (Alexandre Siahou);Oui;;;6400ffb4-5bd7-4ae4-8754-bc15573e0ab3
Association Culturelle Turque de Digne-les-bains;Musulmane;Digne-les-Bains;5, rue Pied-de-Ville;04000;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;0b6e11d6-7949-4d9d-a2de-4c2637d1e5a9
Association d'aide a domicile en milieu rural de barreme et son canton;"Social Entraide; Interventions sociales; Associations familiales, services sociaux pour les familles";Barrême;Grande-rue;04330;;;Publiée;Déclarée;;07/06/2015 (System);Non;;;7ea93ff8-1289-4680-81c9-e276d006880e
Association d'astronomie Populaire l'etoile du Berger;Astronomie;Saint-Jurs;Les Féogères;04410;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;e1ac70f4-1128-4585-820e-c77892ee7077
Association d'astronomie populaire l'etoile du berger;Recherche;Digne-les-Bains;12 Place Félix Esclangon;04000;;;Publiée;Déclarée;;22/06/2015 (System);Non;;;0c3382ef-1b05-4e85-9af5-db306c52cf9b
Association d'education populaire saint-martin;"Social Entraide; Interventions sociales; Education, Formation, Recherche";Digne-les-Bains;9, avenue paul-martin;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;f473e010-0898-410c-801b-c7c7d0c2981a
Association d'enseignement post-universitaire de dermatologie des alpes du sud;"Santé et Protection civile; Centre d'enseignement et de formation; Education, Formation, Recherche";Digne-les-Bains;10, rue alphonse-richard;04000;;;Publiée;Déclarée;19/08/1998;22/06/2015 (System);Non;;;c26410b4-4f16-4648-a3dc-079b100fef7f
Association danses du monde;Art et Culture;Digne-les-Bains;69, h.l.m. barbejas;04000;;;Publiée;Dissoute;;15/04/2016 (System);Non;;;3ccfb46d-8d32-448d-b013-5199f73653ed
Association de chasse chambord;Sports;Aiglun;La lauze;04510;;;Publiée;Déclarée;20/02/2002;14/04/2016 (System);Non;;;0b662333-a410-42bc-bd3d-03c9c337e1f7
Association de defense des chasses traditionnelles a la grive;"Défense des droits fondamentaux, activités civiques; Sports";Bras-d'Asse;La begude;04270;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;7b36454d-6f4c-401d-892b-6ac489aacb6d
Association de defense des interets des proprietaires et agriculteurs de gaubert;"Défense des droits fondamentaux, activités civiques; Justice";Digne-les-Bains;Chambre d'agriculture b.p. 117;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;55aa9b7a-dd60-41b6-9e70-1d2da9a6647d
Association de defense des victimes handicapees, des erreurs commises par le corps medical (A.D.V.H.);"Défense des droits fondamentaux, activités civiques; Interventions sociales";Digne-les-Bains;1, rue gassend, le they n. 75;04010;;;Publiée;Déclarée;20/08/2000;21/06/2015 (System);Non;;;d9cad90a-b525-4a3f-8561-9fdd77921eb9
Association de defense du quartier des epinettes;"Défense des droits fondamentaux, activités civiques; Social Entraide; Environnement, Développement durable; Justice; Interventions sociales";Digne-les-Bains;5, rue des epinettes;04000;;;Publiée;Déclarée;21/11/2005;10/06/2015 (System);Non;;;2b451109-c760-4bdd-9b2f-c652942b474f
Association de financement de la campagne electorale cantonale de mademoiselle muriel liotard des 5 et 12 juillet 1998;"Politique; Soutien, financement de partis et de campagnes électorales; Economie";Digne-les-Bains;3, rue beau-de-rochas;04000;;;Publiée;Déclarée;19/06/1998;04/06/2015 (System);Non;;;3d44690f-ca22-426d-85ca-515cf7eb1af3
Association de financement de la campagne electorale de mme vallon - legislatives juin 2007;"Social Entraide; Loisirs pour personnes en situation de handicap; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;Chemin du rouveyret;04000;;;Publiée;Déclarée;20/05/2007;11/06/2015 (System);Non;;;1d3b89ff-ce47-4e1e-846c-0e77b6ab5b76
Association de financement de la campagne legislative de 1998 de francis galizi;"Politique; Economie";Digne-les-Bains;15 Rue du Docteur André Daumas;04000;;;Publiée;Déclarée;19/03/1997;16/06/2015 (System);Non;;;ea53cb08-2633-41a6-8ef6-0b51b8e98dbe
Association de financement de la campagne legislative de francis galizi des 25 mai et 1er juin 1997;"Politique; Economie";Digne-les-Bains;15 Rue du Docteur André Daumas;04000;;;Publiée;Dissoute;19/03/1997;16/06/2015 (System);Non;;;9ec721ec-243c-4722-8dc8-fd30a7ffc50e
Association de gestion du c.o.d.e.r.p.a. 04;Interventions sociales;Digne-les-Bains;Secrétariat du coderpa 04, 2, rue alphonse-richard;04000;;;Publiée;Déclarée;20/01/2001;22/06/2015 (System);Non;;;ebbf9cbf-16db-4e8c-885d-a01c2230c996
Association de gestion du comite departemental alpes citoyennes (A.G.C.D.A.C.);Economie;Digne-les-Bains;42, boulevard victor-hugo;04000;;;Publiée;Déclarée;19/01/1998;03/06/2015 (System);Non;;;802565a6-9591-4221-84ad-5436da750578
Association de gymnastique dignoise;Gymnastique;Digne-les-Bains;Avenue rené cassin;04000;;0492315376;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;500c45ea-4957-4458-b8e9-32ec8b344083
Association de gymnastique volontaire de champtercier;"Sports individuels; Gymnastique; Sports";Champtercier;Mairie de champtercier;04660;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;ceba8062-c035-49ce-86fd-911adf8990e4
Association de Gymnastique Volontaire de Marcoux;Gymnastique;Marcoux;mairie;04420;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;f55abee0-f465-4893-bdfe-1fcc3d56521d
Association de l'espace saint-christophe;"Recherche; Economie; Education, Formation, Recherche";Digne-les-Bains;Le centre d'affaires, bp 9001, rue ferdinand-de-lesseps;04990;;;Publiée;Déclarée;20/09/2005;10/06/2015 (System);Non;;;aef11c11-3d44-449d-9e40-6d6c3eb89b66
Association de la police nationale dignoise;"Actions socio-culturelles, centres de loisirs ; Interventions sociales; Art et Culture";Digne-les-Bains;2, rue des monges;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;e8470b05-4ffb-426a-bcf3-d4fe27c11278
Association de la police nationale dignoise (A.P.N.D.);Actions socio-culturelles, centres de loisirs ;Digne-les-Bains;Commissariat central de police, 2, rue des monges;04008;;;Publiée;Déclarée;;21/06/2015 (System);Non;;;b0452472-08d9-4407-af9b-e059c70a8e56
Association de la sauvegarde du patrimoine communal;"Défense des droits fondamentaux, activités civiques; Interventions sociales";Marcoux;Mairie;04420;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;30cca6bf-c04c-49ac-967b-c39818a165ca
Association de locataires les frondeurs du hameau des arches (A.L.F.H.A.);"Défense des droits fondamentaux, activités civiques; Interventions sociales";Digne-les-Bains;25, avenue des frères-mahoudeaux, hameau des arches;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;4d5927bf-a4a7-4a42-9dca-9491d1c5a500
Association de parents d'eleves de l'ecole publique beausoleil de digne-les-bains;"Parents d'élèves (APEL,..); Amicales; Education, Formation, Recherche";Digne-les-Bains;10,, chemin de la verdoline;04000;;;Publiée;Déclarée;30/08/2013;09/06/2015 (System);Non;W043002058;;cbcc3a49-1103-4bf8-86c5-b11cdbfbb361
Association de parents d'eleves les marmots de mezel;"Parents d'élèves (APEL,..); Amicales; Education, Formation, Recherche";Mézel;2, lotissement le pavillon;04270;;;Publiée;Déclarée;20/12/2012;18/04/2016 (System);Non;W043001987;;ad4a5beb-aaec-4eda-aad9-3586371652ba
Association de prefiguration du point de vente collectif bleone durance;Economie;Marcoux;Le clos de jalines;04420;;;Publiée;Déclarée;20/07/2005;10/06/2015 (System);Non;;;e1f6966a-fa2e-4d1d-aa11-94da21da1381
Association de promotion de l'agriculture et des produits du terroir bas-alpins;Economie;Digne-les-Bains;66 Boulevard Gassendi;04000;;;Publiée;Déclarée;20/06/2000;21/06/2015 (System);Non;;;c014b4ab-938f-4b6f-9c01-a8f65b907a33
Association de recherche et de documentation archeologique de haute-provence (A.R.D.A 04);Préservation du patrimoine;Digne-les-Bains;9, place de l'evêché;04000;;;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;93139023-132f-4ec4-890e-916ddac37a3d
Association de sauvegarde et de promotion du patrimoine architectural dignois et departemental 04;"Défense des droits fondamentaux, activités civiques; Environnement, Développement durable; Art et Culture";Digne-les-Bains;13, rue saint-jaume;04000;;;Publiée;Déclarée;20/01/2003;15/04/2016 (System);Non;;;5253078e-e3d3-4b79-8bb9-5a946bafaccf
Association de soutien au spectacle vivant;"Activités artistiques; Art et Culture; Promotion de l'art et des artistes";Digne-les-Bains;5,, rue de coste plane- les hauts de justin;04000;;;Publiée;Déclarée;20/09/2012;18/04/2016 (System);Non;W043001966;;984ae28f-bea7-4075-b01c-8d0817ee81f2
Association de tanaron;"Social Entraide; Loisirs; Environnement, Développement durable; Interventions sociales; Art et Culture; Défense et amélioration du cadre de vie";La Robine-sur-Galabre;Route de Barles;04000;association@tanaron.com;0492348106;Publiée;Déclarée;20/07/2005;15/06/2015 (System);Non;W043000568;;18198e4d-1445-4aca-8a44-b88b07fc014e
Association de transhumance hivernale alpes-var;"Recherche; Défense des droits fondamentaux, activités civiques; Environnement, Développement durable";Digne-les-Bains;Chambre d'agriculture, service pastoral, 66, boulevard gassenoi;04004;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;785aedf1-ef71-41a8-94af-d0e5ccfb50ca
Association delphine;Autres catégories;Digne-les-Bains;21 Rue de Rochebrune;04000;;;Publiée;Dissoute;;10/06/2015 (System);Non;;;6d77d5ef-df54-448b-b894-e87bc2cb7e09
Association departementale accueil paysan 04;Economie;Moustiers-Sainte-Marie;Mas du marronnier, le melen;04360;;;Publiée;Déclarée;20/04/2002;14/04/2016 (System);Non;;;3af6e86a-4d8f-435b-b243-d18a4884659f
Association departementale crimocha 04;Autres catégories;Châteauredon;Quartier le père;04270;murielleth2@aol.com;;Publiée;Déclarée;;15/04/2016 (System);Non;;;338ede6c-9b21-47c1-83c1-09e8ced8b4a3
Association departementale crimucha 04;Interventions sociales;Châteauredon;Quartier le père;04270;;;Publiée;Déclarée;20/09/2002;14/04/2016 (System);Non;;;eb4dc5b8-72a5-43ed-b106-29e32d0997e3
Association departementale d'action culturelle;Art et Culture;Digne-les-Bains;42, boulevard victor-hugo;04000;adoc@vivre-culture.com;;Publiée;Dissoute;15/06/2002;10/06/2015 (System);Non;;;d34417c9-710d-46e7-bed7-066860c84d27
